male relative age,16-24,25-34,35-54,55-64,65-74,75-99
-25,0.0,0.0,6.5e-05,0.00035299999999999996,0.000459,0.0009289999999999999
-24,0.0,0.0,2.1e-05,7.6e-05,8.2e-05,0.000156
-23,0.0,0.0,2.6e-05,8.5e-05,0.000104,0.000197
-22,0.0,0.0,3.6e-05,0.000115,0.000138,0.00023199999999999997
-21,0.0,0.0,5.6e-05,0.000138,0.000194,0.000343
-20,0.0,0.0,6.8e-05,0.000189,0.000248,0.000429
-19,0.0,0.0,8.6e-05,0.000228,0.000327,0.000565
-18,0.0,0.0,0.000125,0.00033,0.00046499999999999997,0.000656
-17,0.0,0.0,0.000174,0.000429,0.000622,0.000823
-16,0.0,0.0,0.000248,0.00057,0.000814,0.001095
-15,0.0,0.0,0.000331,0.00075,0.001081,0.001489
-14,0.0,0.0,0.000513,0.001013,0.001458,0.001716
-13,0.0,0.0,0.000716,0.001435,0.001929,0.002155
-12,0.0,1.8e-05,0.001004,0.001973,0.002365,0.0028260000000000004
-11,0.0,3.2e-05,0.001435,0.002688,0.003083,0.003628
-10,0.0,9.1e-05,0.002055,0.0038050000000000002,0.003905,0.004572
-9,0.0,0.000196,0.002991,0.005121,0.00491,0.005839
-8,0.0,0.00035999999999999997,0.004293,0.007112,0.006372,0.007489
-7,0.0,0.00091,0.006105,0.009579,0.00801,0.009608
-6,0.0,0.0018710000000000003,0.008985,0.012697,0.01024,0.012394
-5,0.0,0.003405,0.013314,0.016955,0.013487,0.016143
-4,0.000524,0.006836999999999999,0.01939,0.022538999999999997,0.01809,0.021851
-3,0.002306,0.013146999999999999,0.028201,0.03063,0.025087,0.031535
-2,0.007861,0.02719,0.042726,0.042799,0.038689,0.047224
-1,0.031234,0.068036,0.071463,0.069577,0.068869,0.077633
0,0.076512,0.130386,0.109325,0.107677,0.116601,0.121845
+1,0.101352,0.140246,0.116094,0.12367900000000001,0.141443,0.143958
+2,0.106907,0.119001,0.104981,0.115263,0.135541,0.134259
+3,0.103239,0.100547,0.090892,0.095495,0.109278,0.10732099999999999
+4,0.09412,0.08277099999999998,0.076137,0.074421,0.08033099999999999,0.07832
+5,0.08039,0.06667,0.062288,0.056760000000000005,0.05639,0.055031
+6,0.075569,0.052609,0.04999800000000001,0.043059,0.039883,0.037106
+7,0.060161,0.041219,0.039456,0.032869,0.028989,0.024424
+8,0.050309,0.032138,0.031284,0.025495,0.021201000000000005,0.015664
+9,0.042763,0.024089999999999997,0.024507999999999995,0.020107,0.015457,0.010320000000000001
+10,0.033854,0.018768,0.019468,0.01599,0.011428,0.007020000000000001
+11,0.028089,0.014294,0.01513,0.012609000000000002,0.008517,0.004658
+12,0.020962,0.010971,0.01165,0.010064,0.006352,0.003013
+13,0.015302,0.008681,0.009158,0.007788,0.004699,0.001988
+14,0.011004999999999997,0.006709999999999999,0.00716,0.006275,0.003427,0.001337
+15,0.011215,0.00534,0.005587999999999999,0.004904,0.00261,0.0008680000000000001
+16,0.009643,0.004247,0.004483,0.0038190000000000003,0.00194,0.000545
+17,0.007022,0.003528,0.003493,0.002993,0.00147,0.00032300000000000004
+18,0.005031,0.002759,0.0027799999999999995,0.002317,0.001067,0.000207
+19,0.003354,0.002217,0.00227,0.001758,0.000738,0.000111
+20,0.003564,0.0018439999999999997,0.0018389999999999997,0.001352,0.000546,6.6e-05
+21,0.002306,0.00147,0.001467,0.001011,0.000338,3.5e-05
+22,0.001991,0.001202,0.001156,0.000785,0.000237,2e-05
+23,0.001782,0.001033,0.000971,0.000572,0.000172,2e-05
+24,0.000943,0.0008649999999999999,0.000793,0.000445,0.000113,0.0
+25,0.010691,0.004302,0.003204,0.0013020000000000002,0.000206,1.5e-05
