msoa,org_code,org_name,postcode,latitude,longitude
E02000173,RNK,TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST,NW3 5BA,51.546898,-0.175443
,RT4,WELSH AMBULANCE SERVICES NHS TRUST,LL17 0LJ,,
,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,OX26 6HR,,
E02002594,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,WA3 7PG,53.414117,-2.527537
E02002021,RYA,WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST,DY5 1LX,52.485661,-2.119039
E02006820,RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,LE3 8RA,52.655711,-1.188005
E02001003,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,BL1 5DD,53.579021,-2.475803
E02003792,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,SG8 6NA,52.07658,0.014173
,RY9,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,TW11 8HU,,
E02000150,RV5,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,BR3 3BX,51.38092,-0.02974
,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NE15 8NY,,
E02004159,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,EX2 7HY,50.720169,-3.464744
,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,RH10 9BG,,
E02002881,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,NG8 6PY,52.98146,-1.238124
,RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,TN25 4AZ,,
E02004986,RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,AL7 1BW,51.802697,-0.194002
E02006035,R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,SY2 6FG,52.691257,-2.719044
E02002021,RYK,DUDLEY INTEGRATED HEALTH AND CARE NHS TRUST,DY5 1RU,52.48177,-2.117851
,RYV,CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,PE27 4LG,,
,RQF,VELINDRE NHS TRUST,CF15 7QZ,,
E02000184,G6V2S,NORTH LONDON NHS FOUNDATION TRUST,NW1 0PE,51.53665,-0.131658
,RYT,PUBLIC HEALTH WALES NHS TRUST,CF10 4BZ,,
E02002451,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,WF2 0XQ,53.709422,-1.518789
E02003515,RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,BN2 3EW,50.831176,-0.114497
E02006801,RRU,LONDON AMBULANCE SERVICE NHS TRUST,SE1 8SD,51.500174,-0.109031
,RY7,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,CH42 0LQ,,
