Name,Not Recorded,area,msoa
Altcourse,20,E00176728,E02001351
Ashfield,*,E00189531,E02003108
Askham Grange,*,E00067761,E02002782
Aylesbury,1,E00178390,E02003665
Bedford,1,E00183502,E02003625
Belmarsh,*,E00176530,E02000314
Berwyn,2,W00010468,W02000425
Birmingham,7,E00175650,E02001879
Brinsford,13,E00171615,E02006179
Bristol,1,E00073274,E02003027
Brixton,*,E00177601,E02000638
Bronzefield,1,E00156619,E02006405
Buckley Hall,*,E00172363,E02001136
Bullingdon,8,E00169031,E02005936
Bure,*,E00169872,E02005581
Cardiff,*,W00009982,W02000402
Channings Wood,*,E00165900,E02004213
Chelmsford,*,E00109852,E02006978
Coldingley,1,E00167820,E02006421
Cookham Wood,*,E00167420,E02003337
Dartmoor,*,E00180228,E02004231
Deerbolt,*,E00183312,E02007022
Doncaster,*,E00038161,E02001560
Dovegate,4,E00168365,E02006136
Downview,*,E00170403,E02006376
Drake Hall,*,E00151321,E02006192
Durham,6,E00171869,E02004314
East Sutton Park,*,E00123682,E02005084
Eastwood Park,*,E00075710,E02003090
Elmley (Sheppey cluster),6,E00189650,E02005120
Erlestoke,*,E00184186,E02006639
Exeter,2,E00180166,E02004152
Featherstone,*,E00171615,E02006179
Feltham,22,E00179152,E02000552
Ford,1,E00184735,E02006547
Forest Bank,4,E00172963,E02001164
Foston Hall,*,E00100526,E02004118
Frankland,1,E00183299,E02004308
Full Sutton,*,E00175339,E02002692
Garth,1,E00170510,E02005195
Gartree,*,E00187479,E02005373
Grendon/Spring Hill,1,E00169125,E02003661
Guys Marsh,*,E00183057,E02004259
Hatfield,*,E00038290,E02001546
Haverigg,*,E00097466,E02004007
Hewell,9,E00181370,E02006709
High Down,7,E00170403,E02006376
Highpoint (North and South),1,E00169948,E02006283
Hindley,*,E00181441,E02001312
Hollesley Bay,*,E00173886,E02006293
Holme House,*,E00174165,E02002544
Hull,7,E00170747,E02002671
Humber,1,E00185508,E02002709
Huntercombe,*,E00186049,E02005968
Isis,2,E00176530,E02000314
Isle of Wight,3,E00172713,E02003588
Kirkham,*,E00174064,E02005205
Kirklevington Grange,*,E00174174,E02002558
Lancaster Farms,*,E00185618,E02005233
Leeds,*,E00170041,E02002400
Leicester,*,E00068911,E02006850
Lewes,5,E00106857,E02004383
Leyhill,*,E00173069,E02003092
Lincoln,1,E00173653,E02005444
Lindholme,*,E00172382,E02001546
Littlehey,*,E00173794,E02003769
Liverpool,2,E00182973,E02001349
Long Lartin,1,E00171600,E02006758
Low Newton,*,E00183266,E02004308
Lowdham Grange,*,E00173435,E02005905
Maidstone,2,E00186663,E02005071
Manchester,*,E00175942,E02006915
Moorland,*,E00172382,E02001546
Mount,*,E00189378,E02004876
New Hall,4,E00168748,E02002472
North Sea Camp,*,E00185354,E02005417
Northumberland,1,E00190044,E02005720
Norwich,*,E00187940,E02005587
Nottingham,3,E00173486,E02002874
Oakwood,3,E00171615,E02006179
Onley,3,E00169204,E02005621
Parc,2,W00010385,W02000228
Pentonville,22,E00013494,E02000568
Peterborough (Female),*,E00187639,E02003246
Peterborough (Male),*,E00187639,E02003246
Portland,*,E00171471,E02004288
Prescoed,*,W00008311,W02000341
Preston,2,E00181968,E02005266
Ranby,2,E00142851,E02005837
Risley,*,E00188925,E02002590
Rochester,*,E00167420,E02003337
Rye Hill,*,E00169203,E02005621
Send,*,E00155365,E02006344
Stafford,*,E00179354,E02006196
Standford Hill (Sheppey cluster),*,E00124937,E02005120
Stocken,*,E00172628,E02002863
Stoke Heath,1,E00187256,E02006020
Styal,*,E00174371,E02003859
Sudbury,*,E00174335,E02004077
Swaleside (Sheppey cluster),2,E00124937,E02005120
Swansea,2,W00003997,W02000192
Swinfen Hall,1,E00180753,E02006157
Thameside,19,E00008406,E02000314
Thorn Cross,*,E00062779,E02002613
Usk,*,W00008311,W02000341
Wakefield,1,E00179981,E02002456
Wandsworth,35,E00183128,E02000946
Warren Hill,*,E00173886,E02006293
Wayland,*,E00169902,E02005512
Wealstun,*,E00170593,E02002331
Werrington,*,E00151745,E02006212
Wetherby,*,E00059025,E02002331
Whatton,*,E00144559,E02005906
Whitemoor,*,E00187623,E02003746
Winchester,7,E00184857,E02004833
Woodhill,*,E00183648,E02007016
Wormwood Scrubs,56,E00183098,E02000372
Wymott,1,E00170510,E02005195
zzz The Verne IRC/HMP (Aug 18-),*,E00171474,E02004288
