Name,A Asian / Asian British,B Black / African / Caribbean / Black British,C Mixed / Multiple ethnic groups,D Other ethnic group,E White,F Not recorded,G Not stated,area,msoa
Ashfield,25,33,9,4,322,2,4,E00189531,E02003108
Bristol,28,60,28,*,364,*,*,E00073274,E02003027
Channings Wood,15,37,14,*,608,*,*,E00165900,E02004213
Dartmoor,10,29,12,*,557,*,4,E00180228,E02004231
Eastwood Park,5,18,11,3,326,8,*,E00075710,E02003090
Erlestoke,33,71,21,*,301,1,*,E00184186,E02006639
Exeter,9,35,9,3,344,6,4,E00180166,E02004152
Guys Marsh,21,69,32,4,326,3,4,E00183057,E02004259
Leyhill,12,38,20,*,380,1,*,E00173069,E02003092
Portland,14,69,40,*,382,*,*,E00171471,E02004288
zzz The Verne IRC/HMP (Aug 18-),41,49,*,9,455,*,*,E00171474,E02004288
